사업번호,사업명,문서_소관기관,소관기관_정규화,분야_정규화,부문_정규화,프로그램_정규화,회계기금_정규화,지원형태_정규화,예산2026_통합_백만원,예산2026_통합_억원,2026열1_라벨,2026열2_라벨,2026열1_백만원,2026열2_백만원,내역사업_건수,사업시행방법,사업시행주체
312,블록체인 기반 살생물제 정보 지능형 공정관리기술 개발 사업(R&D),기후에너지환경부,기후에너지환경부,환경,기후대기 및 환경안전,화학물질 안전관리,환경개선 특별회계,출연,7000.0,70.0,정부안,확정(B),7000.0,7000.0,1,출연,기후에너지환경부(한국환경산업기술원 대행)
313,사업장 미세먼지 관리사업,기후에너지환경부,기후에너지환경부,환경,기후대기 및 환경안전,대기환경보전,환경개선 특별회계,"직접, 보조",64078.0,640.78,정부안,확정(B),64078.0,64078.0,3,"직접수행, 자치단체 보조 등","기후에너지환경부(유역·지방환경청, 국립환경과학원), 지방자치단체"
314,상수도정보화시스템 구축(정보화),기후에너지환경부,기후에너지환경부,환경,물환경,맑은물 공급·이용,환경개선 특별회계,직접,2215.0,22.15,정부안,확정(B),2515.0,2215.0,3,직접수행(역무대행),환경부
315,생물다양성 보전 및 관리,기후에너지환경부,기후에너지환경부,환경,자연,자연생태 보전,환경개선 특별회계,"직접, 보조",3321.0,33.21,정부안,확정(B),3392.0,3321.0,3,"직접수행, 보조, 융자, 출연, 출자 등",사업 시행 기관명 적시
316,세라믹분야 스마트그린 제조혁신 지원사업(R&D),기후에너지환경부,기후에너지환경부,산업·중소기업 및 에너지,산업혁신 지원,탄소중립기반구축,기후대응기금,출연,2052.0,20.52,정부안,확정(B),2052.0,2052.0,1,출연,한국산업기술기획평가원
317,수문조사시설 설치 및 개선,기후에너지환경부,기후에너지환경부,국토 및 지역개발,수자원,수자원정책 및 홍수관리,일반회계,직접,97350.0,973.5,정부안,확정(B),97350.0,97350.0,1,직접수행,"기후에너지환경부(4개 홍수통제소), 한국수자원공사"
318,수열에너지 활용기술 및 에너지 믹스 기술개발(R&D),기후에너지환경부,기후에너지환경부,환경,기후대기 및 환경안전,탄소중립기반구축,기후대응기금,출연,7500.0,75.0,정부안,확정(B),7500.0,7500.0,1,출연(총사업비의 50~75%),기후부(한국환경산업기술원 대행)
319,수용가 전기설비 원격점검 및 디지털 안전기술개발(R&D),기후에너지환경부,기후에너지환경부,산업·중소기업 및 에너지,에너지 및 자원개발,에너지기술개발,에너지및자원 사업특별회계,출연,4000.0,40.0,정부안,확정(B),4000.0,4000.0,1,"출연(Matching Fund, 연구수행형태에 따라 33~100% 정부지원)",한국에너지기술평가원
320,장거리 고압수소 배관망 고안전성 확보 및 AI기반 안전관리 기술개발,기후에너지환경부,기후에너지환경부,산업·중소기업 및 에너지,에너지 및 자원개발,에너지기술개발,에너지및자원 사업특별회계,출연,4000.0,40.0,정부안,확정(B),4000.0,4000.0,1,"출연(Matching Fund, 연구수행형태에 따라 33~100% 정부지원)",한국에너지기술평가원
321,전력망물리기반AI 모델개발및실증(R&D),기후에너지환경부,기후에너지환경부,산업·중소기업 및 에너지,에너지 및 자원개발,재생에너지 및 에너지신산업활성화,일반회계,미상,4000.0,40.0,정부안,확정(B),4000.0,4000.0,1,출연,한국에너지기술평가원
322,차세대 해양·극지의 환경 및 생태계에 관한 기후예측시스템 개발(R&D),기후에너지환경부,기후에너지환경부,교통 및 물류,물류 등 기타,탄소중립기반구축,기후대응기금,출연,4500.0,45.0,정부안,확정(B),4500.0,4500.0,1,출연,해양수산과학기술진흥원
323,폐의류 문제해결 플래그십 재활용 기술개발사업,기후에너지환경부,기후에너지환경부,환경,자원순환 및 환경경제,친환경경제사회 활성화,환경개선 특별회계,출연,3500.0,35.0,정부안,확정(B),3500.0,3500.0,1,출연,"기후에너지환경부, 한국환경산업기술원"
324,환경보건 빅데이터 구축 및 AI 활용 고도화 기술개발사업(R&D),기후에너지환경부,기후에너지환경부,환경,기후대기 및 환경안전,환경보건관리,환경개선 특별회계,출연,6700.0,67.0,정부안,확정(B),6700.0,6700.0,1,출연,한국환경산업기술원
325,환경정보 융합빅데이터 플랫폼 구축(정보화),기후에너지환경부,기후에너지환경부,환경,환경일반,환경행정 지원,환경개선 특별회계,직접,1838.0,18.38,정부안,확정(B),1838.0,1838.0,1,직접수행,기후에너지환경부
326,환경정보화기반구축(정보화),기후에너지환경부,기후에너지환경부,환경,환경일반,환경행정 지원,환경개선 특별회계,직접,2923.0,29.23,정부안,확정(B),3103.0,2923.0,2,직접수행,환경부
327,환경행정정보서비스 구축(정보화),기후에너지환경부,기후에너지환경부,환경,환경일반,환경행정 지원,환경개선 특별회계,직접,4788.0,47.88,정부안,확정(B),5487.0,4788.0,5,직접수행,기후에너지환경부
328,A I 응용제품 신속 상용화 지원사업(농업),농림축산식품부,농림축산식품부,농림수산,농업·농촌,농업신산업육성,농어촌구조 개선특별회계,보조,40000.0,400.0,요구안,본예산(B),67500.0,40000.0,1,민간경상보조,한국농업기술진흥원
329,AX기반지능형농작업협업 산업화기술개발(R&D),농림축산식품부,농림축산식품부,농림수산,농업·농촌,농업신산업육성,농어촌구조 개선특별회계,출연,6975.0,69.75,요구안,본예산(B),6975.0,6975.0,1,"출연 100%(대기업 50%, 중견기업 30%, 중소기업 25% 이상 매칭)",농림식품기술기획평가원
330,K-수직농장세계화프로젝트(R&D),농림축산식품부,농림축산식품부,농림수산,농업·농촌,농업신산업육성,농어촌구조 개선특별회계,출연,8200.0,82.0,요구안,본예산(B),8200.0,8200.0,1,"출연 100%(대기업 50%, 중견기업 30%, 중소기업 25% 이상 매칭)",농림식품기술기획평가원
331,검역본부정보화(정보화),농림축산식품부,농림축산식품부,농림수산,농업·농촌,농림축산검역검사,일반회계,직접,14843.0,148.43,요구안,본예산(B),15609.0,14843.0,1,직접수행,농림축산검역본부
332,고부가가치식품기술개발(R&D),농림축산식품부,농림축산식품부,농림수산,식품업,식품외식산업육성,농어촌구조 개선특별회계,출연,38887.0,388.87,요구안,본예산(B),38887.0,38887.0,1,"출연 100%(대기업 50%, 중견기업 30%, 중소기업 25% 이상 매칭)",농림식품기술기획평가원
333,국가농업AX플랫폼,농림축산식품부,농림축산식품부,농림수산,농업·농촌,농업신산업육성,일반회계,"출자, 보조",70500.0,705.0,요구안,본예산(B),70500.0,70500.0,1,"출자, 보조","한국농어촌공사, 한국농어촌공사 경유출자 등을 통해 설립된 SPC"
334,농업농촌국민체감AX전환 기술개발(R&D),농림축산식품부,농림축산식품부,농림수산,농업·농촌,농업신산업육성,지역균형발전 특별회계,출연,1575.0,15.75,요구안,본예산(B),1575.0,1575.0,1,"출연 80%, 지방비 20% (대기업 50%, 중견기업 30%, 중소기업 25% 이상 매칭)",농림식품기술기획평가원
335,반려동물난치성질환극복 기술개발(R&D),농림축산식품부,농림축산식품부,농림수산,농업·농촌,농업신산업육성,농어촌구조 개선특별회계,출연,2775.0,27.75,요구안,본예산(B),2775.0,2775.0,1,"출연 100%(대기업 50%, 중견기업 30%, 중소기업 25% 이상 매칭)",농림식품기술기획평가원
336,스마트팜다부처패키지 혁신기술개발(R&D),농림축산식품부,농림축산식품부,농림수산,농업·농촌,농업신산업육성,농어촌구조 개선특별회계,출연,17808.0,178.08,본예산(B),증감 (B-A),17808.0,1172.0,1,"출연 100%(대기업 50%, 중견기업 30%, 중소기업 25% 이상 매칭)","농림식품기술기획평가원, (재)스마트팜연구개발사업단"
337,AI기반작물모니터링및진단 플랫폼개발(R&D),농촌진흥청,농촌진흥청,농림수산,농업·농촌,농업기초기반 및 실용화 기술개발,일반회계,직접,7800.0,78.0,조정(B),증감 (B-A),7800.0,7800.0,1,직접수행,농촌진흥청 연구정책국
338,국경 이동성 해충의 국제 발생 예측 및 방제기술 개발(R&D),농촌진흥청,농촌진흥청,농림수산,농업·농촌,농업기초기반 및 실용화 기술개발,일반회계,직접,2000.0,20.0,조정(B),증감 (B-A),2000.0,2000.0,1,직접수행,농촌진흥청 기술협력국
339,농업기술정보화(정보화),농촌진흥청,농촌진흥청,농림수산,농업·농촌,농가경영능력 향상,일반회계,미상,6823.0,68.23,조정(B),증감 (B-A),6823.0,-450.0,1,직접수행,농촌진흥청
340,농작업안전관리기술및웨어러 블편이장비개발(R&D),농촌진흥청,농촌진흥청,농림수산,농업·농촌,농업기초기반 및 실용화 기술개발,일반회계,직접,3000.0,30.0,조정(B),증감 (B-A),3000.0,3000.0,1,직접수행,농촌진흥청 연구정책국
341,데이터기반농업관측을위한 위성영상활용기술개발(R&D),농촌진흥청,농촌진흥청,농림수산,농업·농촌,농업기초기반 및 실용화 기술개발,일반회계,직접,1770.0,17.7,조정(B),증감 (B-A),1770.0,1770.0,1,직접수행,농촌진흥청 연구정책국
342,스마트팜다부처패키지 혁신기술개발(R&D),농촌진흥청,농촌진흥청,농림수산,농업·농촌,농업기초기반 및 실용화 기술개발,일반회계,출연,18708.0,187.08,조정(B),증감 (B-A),18708.0,528.0,1,"출연 100%(대기업 50%, 중견기업 30%, 중소기업 25% 이상 매칭)","농림식품기술기획평가원, (재)스마트팜연구개발사업단"
343,지능형농업로봇핵심기반기술 개발(R&D),농촌진흥청,농촌진흥청,농림수산,농업·농촌,농업기초기반 및 실용화 기술개발,일반회계,직접,2950.0,29.5,조정(B),증감 (B-A),2950.0,2950.0,1,직접수행,농촌진흥청 연구정책국
344,특용작물유래천연활성바이오 소재생산및활용기술개발(R&D),농촌진흥청,농촌진흥청,농림수산,농업·농촌,농업기초기반 및 실용화 기술개발,일반회계,직접,7500.0,75.0,조정(B),증감 (B-A) (B-A)/A,7500.0,7500.0,1,직접수행,농촌진흥청 연구정책국
345,등기업무전산화,대법원,대법원,공공질서 및 안전,법원 및 헌재,사법정보화운영,등기특별회계,직접,30951.0,309.51,요구,조정(B),34674.0,30951.0,1,직접수행,대법원
346,사법업무전산화(정보화),대법원,대법원,공공질서 및 안전,법원 및 헌재,사법정보화운영,일반회계,직접,82846.0,828.46,조정(B),증감 (B-A),82846.0,10106.0,1,직접수행,대법원
347,4차산업혁명대비국어빅데이터구축,문화체육관광부,문화체육관광부,문화 및 관광,문화예술,국립국어원 운영,일반회계,직접,13400.0,134.0,요구안,본예산(B),13400.0,13400.0,1,직접수행,국립국어원
348,AI 기반 관광 혁신 연구개발(R&D),문화체육관광부,문화체육관광부,문화 및 관광,관광,국내관광 활성화,관광진흥개발기금,출연,3750.0,37.5,요구안,본예산(B),3750.0,3750.0,1,출연,한국콘텐츠진흥원
349,개인운동기록 활용 기술 개발(R&D),문화체육관광부,문화체육관광부,문화 및 관광,체육,스포츠산업 육성,국민체육진흥기금,출연,5725.0,57.25,요구안,본예산(B),5725.0,5725.0,1,출연,한국콘텐츠진흥원
350,국학진흥 정책기반 조성,문화체육관광부,문화체육관광부,문화 및 관광,문화예술,창의적문화정책구현,일반회계,보조,11702.0,117.02,요구안,본예산(B),11531.0,11702.0,3,보조(민간경상보조),"한국국학진흥원, 한국학호남진흥원, 한국유교문화진흥원, 율곡국학진 흥원, 퇴계학진흥회 등"
351,문화공간 AX 전환을 위한 차세대 Culture Tech개발(R&D),문화체육관광부,문화체육관광부,문화 및 관광,문화예술,콘텐츠산업 육성,일반회계,출연,5200.0,52.0,요구안,본예산(B),5200.0,5200.0,1,출연,한국콘텐츠진흥원
352,문화기술 전문인력양성사업(R&D),문화체육관광부,문화체육관광부,문화 및 관광,문화예술,콘텐츠산업 육성,일반회계,출연,6900.0,69.0,요구안,본예산(B),7050.0,6900.0,1,출연,한국콘텐츠진흥원
353,문화예술 온톨로지 기반 LLM연계 기술개발(R&D),문화체육관광부,문화체육관광부,문화 및 관광,문화예술,콘텐츠산업 육성,일반회계,출연,1750.0,17.5,요구안,본예산(B),1750.0,1750.0,1,출연,한국콘텐츠진흥원
354,신기술 융합콘텐츠산업 육성,문화체육관광부,문화체육관광부,문화 및 관광,문화예술,콘텐츠산업 육성,일반회계,"직접, 보조",43766.0,437.66,요구안,본예산(B),43300.0,43766.0,1,"직접수행, 민간경상보조, 자치단체자본보조","한국콘텐츠진흥원, 한국에이아이실감메타버스콘텐츠협회, 지방자치단체"
355,인공지능 기반 공연예술 안전환경 구축 핵심기술 개발(R&D),문화체육관광부,문화체육관광부,문화 및 관광,문화예술,콘텐츠산업 육성,일반회계,출연,6400.0,64.0,요구안,본예산(B),6400.0,6400.0,1,출연,한국콘텐츠진흥원
356,저작권 및 AI 산업 상생협력 지원,문화체육관광부,문화체육관광부,문화 및 관광,문화예술,건강한 저작권 생태계 조성,일반회계,"직접, 보조",2000.0,20.0,요구안,본예산(B),3500.0,2000.0,1,"직접수행, 민간경상보조","문화체육관광부, 한국저작권위원회, 한국문화정보원"
357,저작권 보호활동 활성화,문화체육관광부,문화체육관광부,문화 및 관광,문화예술,건강한 저작권 생태계 조성,일반회계,"직접, 보조",28882.0,288.82,요구안,본예산(B),28882.0,28882.0,4,"직접수행, 민간경상보조, 국제부담금","문화체육관광부, 한국저작권위원회, 한국저작권보호원, 국제형사경찰기구"
358,한국문화정보원 운영,문화체육관광부,문화체육관광부,문화 및 관광,문화 및 관광 일반,문화·관광행정지원,일반회계,미상,15266.0,152.66,요구안,본예산(B),15266.0,15266.0,2,민간경상보조,한국문화정보원
359,디지털미디어이노베이션 기술개발(R&D),방송미디어통신위원회,방송미디어통신위원회,문화 및 관광,문화예술,콘텐츠방송산업육성,일반회계,출연,9767.0,97.67,요구안,본예산(B),9767.0,9767.0,1,출연,정보통신기획평가원
360,방송콘텐츠 진흥,방송미디어통신위원회,방송미디어통신위원회,문화 및 관광,문화예술,콘텐츠방송산업육성,방송통신 발전기금,보조,16792.0,167.92,요구안,본예산(B),16792.0,16792.0,4,민간경상보조,"한국방송통신전파진흥원(KCA), 한국전파진흥협회(RAPA)"
361,안전한 AI활용 기반조성,방송미디어통신위원회,방송미디어통신위원회,통신,방송통신,안전한 인터넷 활용기반 구축(KCC),방송통신 발전기금,보조,278.0,2.78,요구안,본예산(B),278.0,278.0,1,민간경상보조(보조율 100%),한국정보통신진흥협회
362,지능정보사회 이용자 보호 환경조성,방송미디어통신위원회,방송미디어통신위원회,통신,방송통신,안전한 인터넷 활용기반 구축(KCC),방송통신 발전기금,보조,1141.0,11.41,요구안,본예산(B),781.0,1141.0,2,민간경상보조,정보통신정책연구원
363,국방AI선도연구협력(R&D),방위사업청,방위사업청,국방,방위력개선,방위사업정책지원,일반회계,출연,627.0,6.27,요구,조정(B),627.0,627.0,0,,
364,검찰업무정보화(정보화),법무부,법무부,공공질서 및 안전,법무 및 검찰,검찰활동,일반회계,직접,29633.0,296.33,요구,조정(B),33314.0,29633.0,1,직접수행,법무부(대검찰청)
365,법률구조,법무부,법무부,공공질서 및 안전,법무 및 검찰,인권활동,일반회계,미상,66602.0,666.02,요구,조정(B),71759.0,66602.0,2,"직접수행, 보조",법무부·대한법률구조공단·한국가정법률상담소·대한가정법률복지 상담원·대한변협법률구조재단
366,법무행정정보화(정보화),법무부,법무부,공공질서 및 안전,법무 및 검찰,법무및검찰행정지원,일반회계,직접,44554.0,445.54,요구,조정(B),47037.0,44554.0,1,직접수행,법무부
367,재범징후의 선제적 감지 및 대응력 강화(R&D),법무부,법무부,공공질서 및 안전,법무 및 검찰,범죄예방활동,일반회계,출연,3000.0,30.0,요구,조정(B),3000.0,3000.0,1,출연,"(주관) 법무부·과기정통부 공동 추진 → (관리) 한국연구재단 → (참여) 한국전자통신연구원, 한국형사·법무정책연구원 등 4개 기관"
368,첨단범죄및디지털수사(정보화),법무부,법무부,공공질서 및 안전,법무 및 검찰,검찰활동,일반회계,직접,12285.0,122.85,요구,조정(B),12580.0,12285.0,1,직접수행,법무부
369,법제업무정보화추진(정보화),법제처,법제처,일반·지방행정,일반행정,정부입법총괄지원,일반회계,직접,20771.0,207.71,요구안,본예산(B),20517.0,20771.0,1,직접수행,법제처
370,병무행정정보화,병무청,병무청,미상,미상,병무행정지원,일반회계,직접,16005.0,160.05,요구안,본예산(B),16005.0,16005.0,1,직접수행,병무청
371,AI 모델을 활용한 항체 바이오베터 개발 및 실증(R&D),보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,출연,13500.0,135.0,요구안,본예산(B),13500.0,13500.0,1,출연(민간 참여 시 Matching),한국보건산업진흥원
372,AI기반 수술로봇 이노베이션랩 구축 및 활용 사업,보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,출연,3200.0,32.0,정부안,확정(B),3200.0,3200.0,1,출연(민간 참여시 Matching),한국보건산업진흥원
373,AI응용제품 신속 상용화 지원(보건),보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,보조,13000.0,130.0,정부안,확정(B),20000.0,13000.0,1,민간보조,한국보건산업진흥원(전담기관)
374,AI응용제품 신속 상용화 지원(복지),보건복지부,보건복지부,사회복지,사회복지일반,사회복지기반조성,일반회계,보조,20000.0,200.0,요구안,본예산(B),30000.0,20000.0,2,민간경상보조 100%,"한국사회보장정보원, 한국보건산업진흥원, 중앙사회서비스원"
375,K-AI 신약개발 전임상·임상 모델개발(R&D),보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,출연,8736.0,87.36,요구안,본예산(B),8736.0,8736.0,1,출연(총 연구비 25% 이상 매칭),"보건복지부, 한국보건산업진흥원, (주관기관 및 참여기관) 산·학·연·병"
376,구조기반 AI신약개발 지원(R&D),보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,출연,2400.0,24.0,요구안,본예산(B),2400.0,2400.0,1,출연(민간 참여 시 Matching),한국보건산업진흥원
377,국가통합바이오빅데이터구축(R&D),보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,출연,52123.0,521.23,요구안,본예산(B),52123.0,52123.0,1,출연,"(주관부처) 보건복지부 (참여부처) 과학기술정보통신부, 산업통상자원부, 질병관리청 (전문기관) 한국보건산업진흥원 (사 업 단) 국가통합바이오빅데이터구축사업단"
378,다기관-멀티모달 연합학습 기반 의료 인공지능 기술 시범모델 개발,보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,출연,9000.0,90.0,요구안,본예산(B),9000.0,9000.0,1,출연(기업 참여 시 Matching),"보건복지부, 한국보건산업진흥원, (주관기관 및 참여기관) 산·학·연·병"
379,바이오헬스산업 육성 지원,보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,직접,233770.0,2337.7,요구안,본예산(B),241435.0,233770.0,3,"직접수행, 보조,","한국보건산업진흥원, 국가임상시험지원재단, 대구광역시, 충청북도, 전라북도, 광주광역시, 한국존슨앤드존슨메디칼(주), 대한화장품산업 연구원"
380,발달장애디지털치료제개발(R&D),보건복지부,보건복지부,보건,보건의료,국민건강생활실천,일반회계,직접,9360.0,93.6,요구안,본예산(B),9360.0,9360.0,1,직접수행,"(주관기관) 국립정신건강센터, (참여기관) 대학, 병원, 기관 등"
381,보건의료데이터 상호운용성 지원 기술개발(R&D),보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,출연,7600.0,76.0,요구안,본예산(B),7600.0,7600.0,1,출연(기업 참여 시 Matching),"보건복지부, 한국보건산업진흥원, (참여기관) 산‧학‧연‧병"
382,사회보장정보시스템 구축 및 운영(정보화),보건복지부,보건복지부,사회복지,사회복지일반,사회복지기반조성,일반회계,직접,15040.0,150.4,요구안,본예산(B),15040.0,15040.0,1,직접수행,보건복지부
383,응급실 특화 AI 기반 임상지원시스템 개발,보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,출연,4800.0,48.0,요구안,본예산(B),4800.0,4800.0,1,출연(기업 참여 시 Matching),"보건복지부, 한국보건산업진흥원, (주관기관 및 참여기관) 산·학·연·병"
384,의료 인공지능 특화 융합인재 양성사업(R&D),보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,출연,6000.0,60.0,요구안,본예산(B),6000.0,6000.0,1,출연(기업 참여 시 Matching),"보건복지부, 한국보건산업진흥원, (주관기관 및 참여기관) 산·학·연·병"
385,의료데이터 중심병원 지원사업,보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,"직접, 보조",19963.0,199.63,요구안,본예산(B),19963.0,19963.0,1,"직접수행, 보조(민간, 40~100% 매칭)","(주관기관) 보건복지부, (사업수행기관) 한국보건의료정보원 (참여기관) 의료기관, 국립암센터"
386,지역거점AX혁신기술개발,보건복지부,보건복지부,보건,보건의료,보건산업육성,지역균형발전 특별회계,출연,5120.0,51.2,정부안,확정(B),5120.0,5120.0,1,"출연(국비ㆍ지방비 출연, 민간 참여 시 Matching)","한국보건산업진흥원, 대구광역시, (가칭)지역거점 AX기술개발사업단"
387,치매의료기술연구개발사업,보건복지부,보건복지부,보건,보건의료,보건산업육성,일반회계,출연,1650.0,16.5,요구안,본예산(B),1650.0,1650.0,1,출연(기업참여시 Matching),보건복지부(전문기관: 한국보건산업진흥원)
388,치매전주기데이터수집및빅데이 터통합시스템구축사업(R&D),보건복지부,보건복지부,미상,보건복지부,보건산업육성,일반회계,출연,3150.0,31.5,요구안,본예산(B),3150.0,3150.0,1,출연(기업 참여시 매칭),보건복지부(전문기관: 한국보건산업진흥원)
389,한국형 수술질향상 프로젝트(K-NSQIP),보건복지부,보건복지부,보건,보건의료,보건산업육성,국민건강증진기금,출연,6667.0,66.67,요구안,본예산(B),6667.0,6667.0,1,출연,보건복지부(한국보건산업진흥원)
390,한의약산업육성,보건복지부,보건복지부,보건,보건의료,한의약연구및정책개발,일반회계,"직접, 보조",3802.0,38.02,요구안,본예산(B),3802.0,3802.0,4,"직접수행, 지자체보조, 민간보조","보건복지부, 지자체, 민간수행기관(한국한의약진흥원 등)"
391,AI 기반 임도 설계 및 유지관리 최적화 기술개발(R&D),산림청,산림청,농림수산,임업·산촌,산림자원 및 산업육성,일반회계,출연,2500.0,25.0,요구,확정(B),3947.0,2500.0,1,출연(국고 100%),한국임업진흥원(전문기관)
392,고성능 목재수확 기계장비 개발(R&D),산림청,산림청,농림수산,임업·산촌,산림자원 및 산업육성,농어촌구조 개선특별회계,출연,4500.0,45.0,요구,확정(B),4500.0,4500.0,1,출연(국고 100%),한국임업진흥원(전문기관)
393,대형산불 대응 지능형 솔루션 기술개발(R&D),산림청,산림청,농림수산,임업·산촌,산림자원 및 산업육성,일반회계,출연,19316.0,193.16,요구,확정(B),19316.0,19316.0,1,출연(국고 100%),한국임업진흥원(연구관리 전문기관)
394,디지털 기반 산림 우수종자 생산공급 기술개발(R&D),산림청,산림청,농림수산,임업·산촌,산림자원 및 산업육성,농어촌구조 개선특별회계,출연,2198.0,21.98,요구,확정(B),2198.0,2198.0,1,출연(국고 100%),한국임업진흥원(연구관리 전문기관)
395,산림과학연구(R&D),산림청,산림청,농림수산,임업·산촌,산림과학기술개발,일반회계,직접,52124.0,521.24,요구,확정(B),51508.0,52124.0,1,직접수행,국립산림과학원
396,산림분야 그린바이오 미래형 가치사슬 기술개발(R&D),산림청,산림청,농림수산,임업·산촌,산림자원 및 산업육성,일반회계,출연,5747.0,57.47,요구,확정(B),5747.0,5747.0,1,출연(국고 100%),한국임업진흥원(전문기관)
397,산불방지대책,산림청,산림청,농림수산,임업·산촌,산림재난관리,일반회계,"직접, 출연, 보조",85377.0,853.77,요구,확정(B),78250.0,85377.0,1,"직접수행, 보조(40%)","산림청, 지방자치단체"
398,산사태 현장대응 기술개발(R&D),산림청,산림청,농림수산,임업·산촌,산림자원 및 산업육성,일반회계,출연,5926.0,59.26,요구,확정(B),5926.0,5926.0,1,출연(국고 100%),한국임업진흥원(전문기관)
399,스마트 산림재해 대응(정보화),산림청,산림청,농림수산,임업·산촌,산림행정지원,일반회계,직접,3865.0,38.65,요구,확정(B),3865.0,3865.0,1,직접수행,산림청
400,임업현장 맞춤형 푸드테크 기술개발(R&D),산림청,산림청,농림수산,임업·산촌,산림자원 및 산업육성,농어촌구조 개선특별회계,출연,2727.0,27.27,요구,확정(B),2727.0,2727.0,1,출연(국고 100%),한국임업진흥원(전문기관)
401,AI기반표적맞춤형의약품제조 자율랩기술개발사업,산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,신산업진흥,일반회계,출연,8800.0,88.0,요구안,확정(B),8800.0,8800.0,1,출연,한국산업기술기획평가원
402,AI응용제품신속상용화지원사업,산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,산업경쟁력기반구축,일반회계,출연,130000.0,1300.0,요구안,확정(B),157500.0,130000.0,1,출연,한국산업기술기획평가원
403,AI자율제조SDM플랫폼기술개발 (R&D),산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,주력산업진흥,일반회계,출연,7500.0,75.0,요구안,확정(B),10000.0,7500.0,1,출연,한국산업기술기획평가원
404,AX실증밸리조성기술개발,산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,주력산업진흥,지역균형발전 특별회계,출연,2110.0,21.1,요구안,확정(B),31400.0,2110.0,1,출연,한국산업기술기획평가원
405,K-온디바이스AI반도체 기술개발(R&D),산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,주력산업진흥,일반회계,출연,166554.0,1665.54,요구안,확정(B),185060.0,166554.0,1,출연,한국산업기술기획평가원
406,K-치안수요기반피지컬AI조 명핵심기술개발및실증,산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,주력산업진흥,일반회계,출연,5000.0,50.0,요구안,확정(B),5000.0,5000.0,1,출연,한국산업기술기획평가원
407,No-Code 제조기술 혁신 생태계 구축,산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,산업경쟁력기반구축,일반회계,출연,3000.0,30.0,요구안,확정(B),3000.0,3000.0,1,출연,한국산업기술진흥원
408,PIM인공지능반도체핵심기술 개발(R&D),산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,주력산업진흥,일반회계,출연,7800.0,78.0,요구안,확정(B),7800.0,7800.0,1,출연,한국산업기술기획평가원
409,SDV용AI가속기반도체 기술개발(R&D),산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,주력산업진흥,일반회계,출연,6188.0,61.88,요구안,확정(B),6188.0,6188.0,1,출연,한국산업기술기획평가원
410,가전산업AX전환을위한AI핵심 모듈및혁신제품화기술개발,산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,산업경쟁력기반구축,일반회계,출연,4000.0,40.0,요구안,확정(B),4000.0,4000.0,1,출연(사업수행자별 유형에 따라 출연금 매칭),한국산업기술기획평가원
411,국가로봇테스트필드사업(R&D),산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,주력산업진흥,일반회계,출연,57655.0,576.55,요구안,확정(B),57655.0,57655.0,1,출연,한국산업기술기획평가원
412,국가통합바이오빅데이터구축 사업(R&D),산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,신산업진흥,일반회계,출연,16622.0,166.22,요구안,확정(B),16622.0,16622.0,1,출연,"(주관부처) 보건복지부 (참여부처) 과학기술정보통신부, 산업통상부, 질병관리청 (전문기관) 한국보건산업진흥원 (사 업 단) 국가통합바이오빅데이터구축사업단"
413,기계장비산업기술개발(R&D),산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,소재부품장비경쟁력강화,소재부품장비 경쟁력강화 특별회계,출연,219989.0,2199.89,요구안,확정(B),219989.0,219989.0,1,출연,한국산업기술기획평가원(전문기관)
414,대한무역투자진흥공사,산업통상부,산업통상부,산업·중소기업 및 에너지,무역 및 투자유치,무역진흥,일반회계,미상,341429.0,3414.29,요구안,확정(B),340129.0,341429.0,1,보조,대한무역투자진흥공사
415,로봇산업기술개발(R&D),산업통상부,산업통상부,산업·중소기업 및 에너지,산업혁신 지원,주력산업진흥,일반회계,출연,173529.0,1735.29,요구안,확정(B),193709.0,173529.0,1,출연,한국산업기술기획평가원
