사업번호,사업명,문서_소관기관,소관기관_정규화,분야_정규화,부문_정규화,프로그램_정규화,회계기금_정규화,지원형태_정규화,예산2026_통합_백만원,예산2026_통합_억원,2026열1_라벨,2026열2_라벨,2026열1_백만원,2026열2_백만원,내역사업_건수,사업시행방법,사업시행주체
240,국방 ICT 혁신기술,국방부,국방부,국방,전력유지,국방정보화,일반회계,출연,6651.0,66.51,조정(B),증감 (B-A),6651.0,5651.0,1,정보통신기획평가원 內 ‘국방 ICT단’에 출연,정보통신기획평가원 內 ‘국방 ICT단’
241,민군기술협력 R&D,국방부,국방부,국방,전력유지,군수지원 및 협력,일반회계,출연,10776.0,107.76,요구안,조정안(B),11973.0,10776.0,2,출연,"국방기술진흥연구소, 민군협력진흥원"
242,전투발전연구,국방부,국방부,국방,전력유지,군 인사 및 교육훈련,일반회계,직접,9177.0,91.77,조정안(B),증감 (B-A),9177.0,1560.0,1,직접수행,각 군
243,정보체계개발유지,국방부,국방부,국방,전력유지,국방정보화,일반회계,직접,183056.0,1830.56,조정(B),증감 (B-A),183056.0,-4718.0,1,직접수행,국방부(필요시 각 군 및 국직 위임)
244,정보통신기반체계구축,국방부,국방부,국방,전력유지,국방정보화,일반회계,직접,292157.0,2921.57,요구안,조정안(B),283199.0,292157.0,1,직접수행 (일부 출연),"국방부, 합참, 육․해․공군․해병대, 국직부대/기관"
245,국세정보분석시스템 운영(정보화),국세청,국세청,일반·지방행정,재정·금융,국세행정지원,일반회계,직접,11610.0,116.1,요구안,본예산(B),11610.0,11610.0,1,직접수행,국세청
246,국세행정지원시스템 운영(정보화),국세청,국세청,일반·지방행정,재정·금융,국세행정지원,일반회계,직접,53930.0,539.3,요구안,본예산(B),53930.0,53930.0,3,직접수행,국세청
247,엔티스 전산시스템 운영(정보화),국세청,국세청,일반·지방행정,재정·금융,국세행정지원,일반회계,직접,37914.0,379.14,요구안,본예산(B),37914.0,37914.0,2,직접수행,국세청
248,AI-XR기반비행장원격관제 운용기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,교통시설 특별회계,출연,3596.0,35.96,정부안,확정(B),3596.0,3596.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
249,AI데이터중심의화물차운송 안전향상기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,교통시설 특별회계,출연,1602.0,16.02,정부안,확정(B),1602.0,1602.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
250,AI 모빌리티 시범도시 조성,국토교통부,국토교통부,교통 및 물류,물류 등 기타,자동차및교통정책,일반회계,"직접, 출연",61760.0,617.6,정부안,확정(B),,61760.0,2,"직접수행, 출연","국토교통부, 한국교통안전공단"
251,AI응용제품 신속상용화 지원사업(국토·교통),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통행정지원,일반회계,출연,31500.0,315.0,정부안,확정(B),46000.0,31500.0,1,출연,"국토교통부, 전담기관(국토교통과학기술진흥원)"
252,AI진단기반항공기로봇검사 및정비기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,교통시설 특별회계,출연,4776.0,47.76,정부안,확정(B),4776.0,4776.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
253,건물에너지소비데이터 통합관리기반구축(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,2982.0,29.82,정부안,확정(B),2982.0,2982.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
254,건설전주기안전혁신기술개발 사업(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,43362.0,433.62,정부안,확정(B),,43362.0,2,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
255,건설산업정보시스템 구축 및 운영(정보화),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통정보화,일반회계,직접,4305.0,43.05,정부안,확정(B),4305.0,4305.0,1,직접 수행,"국토교통부, (재)건설산업정보원 (위탁기관) * 위탁근거 : 「건설산업기본법」 제91조제3항제6호 및 동법 시행령 제87조제3항에 따라 건설산업 종합정보망 업무위탁기관 지정(국토교통부 고시 제2019-333호)"
256,건축정보시스템 구축 및 운영,국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통정보화,일반회계,직접,7184.0,71.84,정부안,확정(B),7184.0,7184.0,3,직접수행,국토교통부
257,공간지식추론엔진 기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,3807.0,38.07,정부안,확정(B),3807.0,3807.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
258,공동주택건설생산성혁신을 위한다용도-건설작업로봇 설계및통합관리기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,2009.0,20.09,정부안,확정(B),2009.0,2009.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
259,공항조류탐지및한국형 조류관리핵심기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,교통시설 특별회계,출연,1500.0,15.0,정부안,확정(B),1500.0,1500.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
260,과적단속효율화를위한화물차 중량정보플랫폼구축및실증 기술개발사업(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,교통시설 특별회계,출연,4000.0,40.0,정부안,확정(B),4000.0,4000.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
261,광역단위노후건축물디지털 안전워치기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,일반회계,출연,2611.0,26.11,정부안,확정(B),2611.0,2611.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
262,교통사고유발도로노면 위험요소저감기술개발(R&D),국토교통부,국토교통부,교통 및 물류,물류 등 기타,국토교통연구개발,교통시설 특별회계,출연,5199.0,51.99,정부안,확정(B),5199.0,5199.0,1,출연(참여기업이 있는 경우 Matching),국토교통부(전문기관 : 국토교통과학기술진흥원)
